node_id,title,year,network_id
38489195,Huntington's Disease Clinical Trials Corner: March 2024.,2024,AMD-130
28968245,Clinical Trials Corner: September 2017.,2017,AMD-130
31738395,Antisense oligonucleotide therapeutics in neurodegenerative diseases: the case of polyglutamine disorders.,2020,AMD-130
28182673,The expanded CAG repeat in the huntingtin gene as target for therapeutic RNA modulation throughout the HD mouse brain.,2017,AMD-130
35241644,"An orally available, brain penetrant, small molecule lowers huntingtin levels by enhancing pseudoexon inclusion.",2022,AMD-130
38055260,Tominersen in Adults with Manifest Huntington's Disease.,2023,AMD-130
36463457,Huntington's Disease Clinical Trials Corner: November 2022.,2022,AMD-130
29480210,Huntington’s Disease Clinical Trials Corner: February 2018.,2018,AMD-130
30103342,Huntington's Disease Clinical Trials Corner: August 2018.,2018,AMD-130
30776019,Huntington's Disease Clinical Trials Corner: January 2019.,2019,AMD-130
31381524,Huntington's Disease Clinical Trials Corner: June 2019.,2019,AMD-130
32250312,Huntington's Disease Clinical Trials Corner: April 2020.,2020,AMD-130
35570498,Huntington's Disease Clinical Trials Corner: April 2022.,2022,AMD-130
37483021,Huntington's Disease Clinical Trials Corner: August 2023.,2023,AMD-130
25373358,Characteristics of clinical trial websites: information distribution between ClinicalTrials.gov and 13 primary registries in the WHO registry network.,2014,AMD-130
21366476,The ClinicalTrials.gov results database--update and key issues.,2011,AMD-130
27079379,When are clinical trials registered? An analysis of prospective versus retrospective registration.,2016,AMD-130
16476934,Tetrabenazine as antichorea therapy in Huntington disease: a randomized controlled trial.,2006,AMD-130
27380342,Effect of Deutetrabenazine on Chorea Among Patients With Huntington Disease: A Randomized Clinical Trial.,2016,AMD-130
28671135,Fifteen Years of Clinical Trials in Huntington's Disease: A Very Low Clinical Drug Development Success Rate.,2017,AMD-130
15465591,"Laquinimod (ABR-215062) suppresses the development of experimental autoimmune encephalomyelitis, modulates the Th1/Th2 balance and induces the Th3 cytokine TGF-beta in Lewis rats.",2004,AMD-130
27916455,Phosphodiesterase 10A Inhibition Improves Cortico-Basal Ganglia Function in Huntington's Disease Models.,2016,AMD-130
19588469,The dopaminergic stabilizer ASP2314/ACR16 selectively interacts with D2(High) receptors.,2009,AMD-130
2456581,Differential loss of striatal projection neurons in Huntington disease.,1988,AMD-130
12771251,Evidence for more widespread cerebral pathology in early HD: an MRI-based morphometric analysis.,2003,AMD-130
26938440,The Biology of Huntingtin.,2016,AMD-130
23907466,Mechanisms of RNA-induced toxicity in CAG repeat disorders.,2013,AMD-130
24366610,Treatment of Huntington's disease.,2014,AMD-130
