source,target,relation
38489195,28968245,cites
38489195,31738395,cites
38489195,28182673,cites
38489195,35241644,cites
38489195,38055260,cites
38489195,36463457,cites
38489195,29480210,cites
38489195,30103342,cites
38489195,30776019,cites
38489195,31381524,cites
38489195,32250312,cites
38489195,35570498,cites
38489195,37483021,cites
28968245,25373358,cites
28968245,21366476,cites
28968245,27079379,cites
28968245,16476934,cites
28968245,27380342,cites
28968245,28671135,cites
28968245,15465591,cites
28968245,22726834,cites
28968245,27916455,cites
28968245,19588469,cites
28182673,2456581,cites
28182673,12771251,cites
28182673,8458085,cites
28182673,26938440,cites
28182673,23907466,cites
28182673,24366610,cites
28182673,25155142,cites
28182673,20664076,cites
28182673,21909428,cites
28182673,21028906,cites
28182673,19412185,cites
28182673,22939619,cites
28182673,19289118,cites
28182673,21971427,cites
28182673,25101598,cites
28182673,8898202,cites
28182673,10800956,cites
28182673,17217418,cites
28182673,25575959,cites
28182673,23284626,cites
28182673,23284644,cites
28182673,22365609,cites
28182673,19464370,cites
28182673,19714377,cites
28182673,27721240,cites
28182673,25690257,cites
28182673,10829080,cites
28182673,11117485,cites
28182673,14744247,cites
28182673,22044866,cites
28182673,1832854,cites
28182673,23102616,cites
28182673,15786456,cites
28182673,17239451,cites
28182673,21760962,cites
28182673,24681088,cites
28182673,25216369,cites
28182673,22266926,cites
28182673,19692612,cites
28182673,22573668,cites
28182673,11846609,cites
28182673,24199621,cites
35241644,8458085,cites
35241644,29963642,cites
35241644,21285522,cites
35241644,24484067,cites
35241644,22726834,cites
35241644,30282695,cites
35241644,28920889,cites
35241644,15811941,cites
35241644,18398004,cites
35241644,26030728,cites
35241644,21441581,cites
35241644,26334920,cites
35241644,10938119,cites
35241644,34321659,cites
35241644,28038678,cites
35241644,28968689,cites
35241644,32461654,cites
35241644,30895940,cites
35241644,31597964,cites
35241644,30526861,cites
35241644,18550760,cites
35241644,29856017,cites
35241644,17715336,cites
35241644,26908618,cites
35241644,35213386,cites
35241644,15829505,cites
35241644,28715425,cites
35241644,31968243,cites
35241644,30881191,cites
35241644,27302131,cites
35241644,25605792,cites
